"Step","Group: transformer_twitch - test_roc_auc","Group: transformer_twitch - test_roc_auc__MIN","Group: transformer_twitch - test_roc_auc__MAX","Group: pretrained_gnn_twitch - test_roc_auc","Group: pretrained_gnn_twitch - test_roc_auc__MIN","Group: pretrained_gnn_twitch - test_roc_auc__MAX","Group: pretrained_transformer_twitch - test_roc_auc","Group: pretrained_transformer_twitch - test_roc_auc__MIN","Group: pretrained_transformer_twitch - test_roc_auc__MAX"
"3940","0.7254422836999797","0.7201156177029132","0.7329812436222247","","","","","",""
"7880","","","","","","","0.7245238097899702","0.7120643202982246","0.7309506407353703"
"7881","0.7233590423420649","0.7173011667704325","0.7294189650375708","","","","","",""
"11822","0.72443444070938","0.71689575658098","0.7309187277405323","","","","","",""
"15761","","","","","","","0.7231609409954182","0.7134065317574788","0.7302365336554175"
"15763","0.7242880077447823","0.7199805818630515","0.7283833165432333","","","","","",""
"23642","","","","","","","0.7184721588375172","0.563736347713621","0.7327539049012036"
"31340","","","","0.7209534662910574","0.7140431525621139","0.7268388498430937","","",""
"31523","","","","","","","0.7066786930569863","0.3096426844421428","0.7305147632550897"
"62681","","","","0.7193575649544716","0.7123662448349397","0.7259501044830653","","",""
"94022","","","","0.7200837623604656","0.7091475519996255","0.7287052222524238","","",""
"125363","","","","0.7199784362559524","0.7118013525099901","0.7253325168624671","","",""
